StockNumber,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
JNJ3471,17/10/2023,148.8011137,151.6344225,147.4941718,148.9060516,12244400,0,0,
SPY3470,16/10/2023,425.3167076,428.5716395,425.0716078,427.4931946,75433200,0,0,0
PG3470,16/10/2023,140.5671908,141.7236436,140.1817115,140.769577,6509800,0,0,
JNJ3470,16/10/2023,150.5564463,150.9666488,149.6215396,150.2797852,6408100,0,0,
SPY3469,13/10/2023,426.6794473,427.8951624,421.4539337,423.0421753,95143100,0,0,0
PG3469,13/10/2023,137.9940818,139.7673104,137.9940818,139.4396515,7078900,0,0,
JNJ3469,13/10/2023,149.5166013,150.1176106,148.8679048,149.6310883,5359800,0,0,
SPY3468,12/10/2023,428.3853723,428.7677124,422.7774886,425.1598511,81154200,0,0,0
PG3468,12/10/2023,137.608588,138.7072204,136.5196022,138.1193695,5965600,0,0,
JNJ3468,12/10/2023,148.7438763,149.3544201,147.9330057,149.1350098,5792400,0,0,
SPY3467,11/10/2023,427.1010665,428.0226141,424.6892633,427.7677307,62451700,0,0,0
PG3467,11/10/2023,139.8733196,140.2780773,137.386938,137.8109741,5469100,0,0,
JNJ3467,11/10/2023,151.1669908,151.7298329,148.8583568,148.9919128,6922900,0,0,
SPY3466,10/10/2023,424.4539691,428.6500758,424.0520019,426.0226135,78607300,0,0,0
PG3466,10/10/2023,138.755409,139.9504186,138.5048489,139.5263824,5988900,0,0,
JNJ3466,10/10/2023,151.0906626,151.9397003,150.6327438,151.071579,5273500,0,0,
SPY3465,09/10/2023,419.1989802,424.3951127,418.6401755,423.8166809,80374400,0,0,0
PG3465,09/10/2023,138.1579132,138.7457788,136.4617834,138.1579132,5062200,0,0,
JNJ3465,09/10/2023,149.9458939,151.5676642,149.8600395,151.2433014,4414100,0,0,
SPY3464,06/10/2023,413.6989777,422.6794363,412.3558358,421.1206055,113202700,0,0,0
PG3464,06/10/2023,138.3892097,139.314366,136.3172176,138.8614197,7406300,0,0,
JNJ3464,06/10/2023,149.8504958,151.0143473,149.3830425,150.3847198,5801100,0,0,
SPY3463,05/10/2023,416.0420816,417.0322941,412.9146365,416.1793518,70142700,0,0,0
PG3463,05/10/2023,140.3937257,140.7888516,138.4759459,138.581955,5205700,0,0,
JNJ3463,05/10/2023,149.077776,150.7663023,148.8869837,149.9077301,5993300,0,0,
SPY3462,04/10/2023,413.7970432,417.0911697,412.316631,416.3362732,87453000,0,0,0
PG3462,04/10/2023,140.3069868,141.0008614,139.6709327,140.6732025,4727800,0,0,
JNJ3462,04/10/2023,148.4099911,148.7534084,147.4560155,148.3622894,4955200,0,0,
SPY3461,03/10/2023,416.728371,418.9930902,411.9440194,413.3263855,103760600,0,0,0
PG3461,03/10/2023,139.9022218,141.1743301,139.7480242,140.2106171,4670600,0,0,
JNJ3461,03/10/2023,147.5609396,148.3432066,146.8073053,148.190567,5740800,0,0,
